roadSegment_id,roadSegment_type,lane_id,lane_roadid,lane_num,lane_length,lane_dir,lane_type,point_id,point_lane_id,point_left_lane_id,point_right_lane_id,point_cost,
1,0,6279,7,0,0,4.08105,0,6400,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6402,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6404,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6405,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6406,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6407,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6409,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6410,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6412,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6414,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6415,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6417,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6419,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6420,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6422,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6423,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6424,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6426,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6427,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6428,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6430,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6432,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6433,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6435,6279,2685,0,0,
1,0,6279,7,0,0,4.08105,0,6437,6279,2685,0,0,
1,0,6439,8,0,0,4.16865,0,6439,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6440,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6442,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6443,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6444,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6445,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6447,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6449,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6450,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6452,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6454,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6455,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6457,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6459,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6460,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6461,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6463,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6464,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6466,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6467,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6469,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6470,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6471,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6473,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6474,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6475,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6477,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6478,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6480,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6481,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6483,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6484,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6486,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6487,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6488,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6489,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6490,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6492,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6493,6439,2685,9238,0,
1,0,6439,8,0,0,4.16865,0,6495,6439,2685,9238,0,
